Tset,Tin,Tout,Pheat,Pmotor
20.2,44.3,0.0
20.2,44.3,0.0
20.2,44.3,0.0
20.2,44.3,0.0
20.2,44.3,0.0
20.2,44.3,0.0
20.1,44.3,0.0
20.2,44.3,0.0
20.2,44.3,0.0
20.2,44.3,0.0
20.2,44.4,50.0
20.2,43.9,50.0
20.2,44.3,50.0
20.4,44.1,50.0
20.6,43.9,50.0
20.8,44.4,50.0
20.8,44.6,50.0
20.6,44.6,50.0
20.5,44.6,50.0
20.3,44.6,50.0
20.2,44.8,50.0
20.1,44.8,50.0
20.0,44.9,50.0
19.9,44.8,50.0
19.8,44.8,50.0
19.7,44.8,50.0
19.6,44.4,50.0
19.6,43.9,50.0
19.6,44.9,50.0
19.6,45.1,50.0
19.5,45.3,50.0
19.4,45.9,50.0
19.5,46.1,50.0
19.4,46.4,50.0
19.4,46.9,50.0
19.4,47.3,50.0
19.4,47.8,50.0
19.4,48.1,50.0
19.4,48.8,50.0
19.3,49.2,50.0
19.3,49.5,50.0
19.3,49.4,50.0
19.3,49.8,50.0
19.3,50.6,50.0
19.4,51.0,50.0
19.4,51.5,50.0
19.4,52.1,50.0
19.4,52.9,50.0
19.4,53.7,50.0
19.4,54.2,50.0
19.4,54.9,50.0
19.4,55.7,50.0
19.4,56.3,50.0
19.4,56.9,50.0
19.4,57.5,50.0
19.4,58.0,50.0
19.5,58.6,50.0
19.4,59.1,50.0
19.4,59.5,50.0
19.4,60.0,50.0
19.4,60.4,50.0
19.4,60.7,50.0
19.3,60.6,50.0
19.3,61.1,50.0
19.3,62.0,50.0
19.4,62.3,50.0
19.3,62.6,50.0
19.3,62.6,50.0
19.4,62.7,50.0
19.4,62.8,50.0
19.4,62.7,50.0
19.4,62.8,50.0
19.4,62.6,50.0
19.4,62.3,50.0
19.4,61.9,50.0
19.4,61.6,50.0
19.3,61.4,50.0
19.4,61.0,50.0
19.3,60.7,50.0
19.3,60.2,50.0
19.4,59.9,50.0
19.3,58.8,50.0
19.3,58.7,50.0
19.4,58.4,50.0
19.3,58.1,50.0
19.4,58.4,50.0
19.3,57.9,50.0
19.3,57.6,50.0
19.4,57.0,50.0
19.5,56.3,50.0
19.3,55.9,50.0
19.4,55.4,50.0
19.3,54.8,50.0
19.4,54.4,50.0
19.4,53.8,50.0
19.3,52.4,50.0
19.2,52.4,50.0
19.2,52.1,50.0
19.3,51.8,50.0
19.3,51.5,50.0
19.3,50.9,50.0
19.3,50.6,50.0
19.3,50.3,50.0
19.4,50.7,50.0
19.4,49.4,50.0
